window,group,concept,volume,share_of_concept,share_of_group
aftermath_jun-jul,iran_aligned,diplomacy,946,0.3173431734317343,0.13003436426116838
aftermath_jun-jul,iran_aligned,strike_claims,683,0.36524064171122994,0.0938831615120275
aftermath_jun-jul,neutral,military_action,186,0.022310183519251528,0.2366412213740458
aftermath_jun-jul,neutral,nuclear_program,399,0.07315731573157316,0.5076335877862596
aftermath_jun-jul,neutral,deterrence,42,0.03425774877650897,0.05343511450381679
aftermath_jun-jul,neutral,diplomacy,111,0.03723582690372358,0.14122137404580154
aftermath_jun-jul,neutral,strike_claims,48,0.025668449197860963,0.061068702290076333
aftermath_jun-jul,other,military_action,624,0.07484706729039223,0.4558071585098612
aftermath_jun-jul,other,nuclear_program,183,0.03355335533553355,0.13367421475529584
aftermath_jun-jul,other,deterrence,139,0.1133768352365416,0.10153396639883126
aftermath_jun-jul,other,diplomacy,331,0.11103656491110366,0.24178232286340395
aftermath_jun-jul,other,strike_claims,92,0.04919786096256684,0.06720233747260775
aftermath_aug,us_aligned,military_action,1158,0.4692058346839546,0.4066011235955056
aftermath_aug,us_aligned,nuclear_program,729,0.24940130003421143,0.2559691011235955
aftermath_aug,us_aligned,deterrence,169,0.25880551301684535,0.05933988764044944
aftermath_aug,us_aligned,diplomacy,620,0.22214260121820137,0.21769662921348315
aftermath_aug,us_aligned,strike_claims,172,0.5134328358208955,0.060393258426966294
aftermath_aug,iran_aligned,military_action,821,0.3326580226904376,0.25347329422661313
aftermath_aug,iran_aligned,nuclear_program,1133,0.3876154635648307,0.3497993207780179
aftermath_aug,iran_aligned,deterrence,222,0.33996937212863704,0.06853967273849954
aftermath_aug,iran_aligned,diplomacy,968,0.34682909351486924,0.298857672121025
aftermath_aug,iran_aligned,strike_claims,95,0.2835820895522388,0.029330040135844396
aftermath_aug,neutral,military_action,257,0.10413290113452188,0.1109671848013817
aftermath_aug,neutral,nuclear_program,939,0.3212452959288402,0.405440414507772
aftermath_aug,neutral,deterrence,182,0.2787136294027565,0.07858376511226252
aftermath_aug,neutral,diplomacy,915,0.32783948405589397,0.3950777202072539
aftermath_aug,neutral,strike_claims,23,0.06865671641791045,0.009930915371329879
aftermath_aug,other,military_action,232,0.0940032414910859,0.30247718383311606
aftermath_aug,other,nuclear_program,122,0.041737940472117686,0.1590612777053455
aftermath_aug,other,deterrence,80,0.1225114854517611,0.10430247718383312
aftermath_aug,other,diplomacy,288,0.10318882121103547,0.3754889178617992
aftermath_aug,other,strike_claims,45,0.13432835820895522,0.05867014341590613
