window,group,concept,volume,share_of_concept,share_of_group
aftermath_aug,iran_aligned,diplomacy,211,0.4442105263157895,0.2988668555240793
aftermath_aug,iran_aligned,strike_claims,53,0.3925925925925926,0.07507082152974505
aftermath_aug,neutral,military_action,26,0.05652173913043478,0.07624633431085044
aftermath_aug,neutral,nuclear_program,133,0.2665330661322645,0.39002932551319647
aftermath_aug,neutral,deterrence,27,0.2621359223300971,0.07917888563049853
aftermath_aug,neutral,diplomacy,136,0.2863157894736842,0.39882697947214074
aftermath_aug,neutral,strike_claims,19,0.14074074074074075,0.05571847507331378
aftermath_aug,other,military_action,31,0.06739130434782609,0.44285714285714284
aftermath_aug,other,nuclear_program,5,0.01002004008016032,0.07142857142857142
aftermath_aug,other,deterrence,9,0.08737864077669903,0.12857142857142856
aftermath_aug,other,diplomacy,17,0.035789473684210524,0.24285714285714285
aftermath_aug,other,strike_claims,8,0.05925925925925926,0.11428571428571428
