window,actor,out_degree,in_degree,out_weight,in_weight,agent_ratio,pagerank
climax_w2,UN_SECURITY_COUNCIL,0,0,0,0,,0.0107
climax_w2,USA,3,2,48,14,0.7742,0.1262
climax_w2,US_CONGRESS,0,0,0,0,,0.0107
climax_w2,US_SENATE,0,0,0,0,,0.0107
climax_w2,VANCE,0,0,0,0,,0.0107
climax_w2,WITKOFF,0,0,0,0,,0.0107
climax_w2,YEMEN,0,0,0,0,,0.0107
aftermath_jun-jul,ARAGHCHI,0,0,0,0,,0.0104
aftermath_jun-jul,BAHRAIN,0,0,0,0,,0.0104
aftermath_jun-jul,BIDEN,0,0,0,0,,0.0104
aftermath_jun-jul,CHINA,1,0,2,0,1.0,0.0104
aftermath_jun-jul,DEMOCRATS,0,0,0,0,,0.0104
aftermath_jun-jul,EU,0,0,0,0,,0.0104
aftermath_jun-jul,FRANCE,0,0,0,0,,0.0104
aftermath_jun-jul,GAZA,0,0,0,0,,0.0104
aftermath_jun-jul,GERMANY,0,0,0,0,,0.0104
aftermath_jun-jul,GROSSI,0,0,0,0,,0.0104
aftermath_jun-jul,GULF_STATES,0,0,0,0,,0.0104
aftermath_jun-jul,HAMAS,1,0,6,0,1.0,0.0104
aftermath_jun-jul,HEGSETH,0,0,0,0,,0.0104
aftermath_jun-jul,HEZBOLLAH,1,0,1,0,1.0,0.0104
aftermath_jun-jul,HOUTHIS,0,1,0,1,0.0,0.0187
aftermath_jun-jul,IAEA,0,0,0,0,,0.0104
aftermath_jun-jul,IRAN,2,4,7,50,0.1228,0.2508
aftermath_jun-jul,IRAQ,0,0,0,0,,0.0104
aftermath_jun-jul,ISRAEL,2,4,35,12,0.7447,0.1525
aftermath_jun-jul,KHAMENEI,2,0,2,0,1.0,0.0104
aftermath_jun-jul,LEBANON,0,1,0,2,0.0,0.0178
aftermath_jun-jul,NATO,0,0,0,0,,0.0104
aftermath_jun-jul,NETANYAHU,0,1,0,1,0.0,0.0129
aftermath_jun-jul,OBAMA,0,1,0,1,0.0,0.0129
aftermath_jun-jul,OMAN,0,0,0,0,,0.0104
aftermath_jun-jul,PEZESHKIAN,1,0,1,0,1.0,0.0104
aftermath_jun-jul,PUTIN,0,0,0,0,,0.0104
aftermath_jun-jul,QATAR,0,0,0,0,,0.0104
aftermath_jun-jul,REPUBLICANS,1,0,1,0,1.0,0.0104
aftermath_jun-jul,RUBIO,0,0,0,0,,0.0104
aftermath_jun-jul,RUSSIA,1,0,1,0,1.0,0.0104
aftermath_jun-jul,SAUDI_ARABIA,0,0,0,0,,0.0104
aftermath_jun-jul,SYRIA,0,0,0,0,,0.0104
aftermath_jun-jul,TRUMP,5,2,8,2,0.8,0.0237
aftermath_jun-jul,UAE,0,0,0,0,,0.0104
aftermath_jun-jul,UK,1,0,1,0,1.0,0.0104
aftermath_jun-jul,UKRAINE,0,1,0,1,0.0,0.0193
aftermath_jun-jul,UN_SECURITY_COUNCIL,0,0,0,0,,0.0104
aftermath_jun-jul,USA,2,5,13,8,0.619,0.1265
aftermath_jun-jul,US_CONGRESS,0,0,0,0,,0.0104
aftermath_jun-jul,US_SENATE,0,0,0,0,,0.0104
aftermath_jun-jul,VANCE,0,0,0,0,,0.0104
aftermath_jun-jul,WITKOFF,0,0,0,0,,0.0104
aftermath_jun-jul,YEMEN,0,0,0,0,,0.0104
aftermath_aug,ARAGHCHI,0,0,0,0,,0.0176
aftermath_aug,BAHRAIN,0,0,0,0,,0.0176
aftermath_aug,BIDEN,0,0,0,0,,0.0176
aftermath_aug,CHINA,0,0,0,0,,0.0176
aftermath_aug,DEMOCRATS,0,0,0,0,,0.0176
aftermath_aug,EU,1,0,5,0,1.0,0.0176
aftermath_aug,FRANCE,0,0,0,0,,0.0176
aftermath_aug,GAZA,0,0,0,0,,0.0176
aftermath_aug,GERMANY,0,0,0,0,,0.0176
aftermath_aug,GROSSI,0,1,0,5,0.0,0.0503
aftermath_aug,GULF_STATES,0,0,0,0,,0.0176
aftermath_aug,HAMAS,0,1,0,1,0.0,0.0238
aftermath_aug,HEGSETH,0,0,0,0,,0.0176
aftermath_aug,HEZBOLLAH,0,0,0,0,,0.0176
aftermath_aug,HOUTHIS,0,0,0,0,,0.0176
aftermath_aug,IAEA,0,1,0,3,0.0,0.0372
aftermath_aug,IRAN,4,5,14,11,0.56,0.1078
aftermath_aug,IRAQ,0,0,0,0,,0.0176
aftermath_aug,ISRAEL,3,1,6,4,0.6,0.0438
aftermath_aug,KHAMENEI,0,0,0,0,,0.0176
aftermath_aug,LEBANON,0,0,0,0,,0.0176
aftermath_aug,NATO,0,0,0,0,,0.0176
aftermath_aug,NETANYAHU,0,0,0,0,,0.0176
aftermath_aug,OBAMA,0,0,0,0,,0.0176
aftermath_aug,OMAN,0,0,0,0,,0.0176
aftermath_aug,PEZESHKIAN,0,0,0,0,,0.0176
aftermath_aug,PUTIN,0,1,0,1,0.0,0.0226
aftermath_aug,QATAR,0,0,0,0,,0.0176
aftermath_aug,REPUBLICANS,0,0,0,0,,0.0176
aftermath_aug,RUBIO,0,0,0,0,,0.0176
aftermath_aug,RUSSIA,0,2,0,2,0.0,0.0376
aftermath_aug,SAUDI_ARABIA,0,0,0,0,,0.0176
aftermath_aug,SYRIA,0,0,0,0,,0.0176
aftermath_aug,TRUMP,3,0,3,0,1.0,0.0176
aftermath_aug,UAE,0,0,0,0,,0.0176
aftermath_aug,UK,1,0,1,0,1.0,0.0176
aftermath_aug,UKRAINE,1,0,1,0,1.0,0.0176
aftermath_aug,UN_SECURITY_COUNCIL,0,0,0,0,,0.0176
aftermath_aug,USA,1,2,1,4,0.2,0.0431
aftermath_aug,US_CONGRESS,0,0,0,0,,0.0176
aftermath_aug,US_SENATE,0,0,0,0,,0.0176
aftermath_aug,VANCE,0,0,0,0,,0.0176
aftermath_aug,WITKOFF,0,0,0,0,,0.0176
aftermath_aug,YEMEN,0,0,0,0,,0.0176
